NUMBER		TC1	BIN	HEX
NUMBER	TC1	BIN	HEX
1	82	1010010	52
2	100	1100100	64
3	93	1011101	5D
4	65	1000001	41
5	58	111010	3A
6	51	110011	33
7	67	1000011	43
8	75	1001011	4B
9	10	1010	A
10	93	1011101	5D
11	29	11101	1D
12	86	1010110	56
13	100	1100100	64
14	21	10101	15
15	40	101000	28
16	90	1011010	5A
17	1	1	1
18	100	1100100	64
19	0	0	0
20	74	1001010	4A
21	72	1001000	48
22	13	1101	D
23	37	100101	25
24	66	1000010	42
25	29	11101	1D
26	22	10110	16
27	61	111101	3D
28	38	100110	26
29	67	1000011	43
30	74	1001010	4A
31	89	1011001	59
32	77	1001101	4D
33	85	1010101	55
34	93	1011101	5D
35	54	110110	36
36	43	101011	2B
37	75	1001011	4B
38	36	100100	24
39	85	1010101	55
40	8	1000	8
41	86	1010110	56
42	1	1	1
43	80	1010000	50
44	17	10001	11
45	94	1011110	5E
46	7	111	7
47	94	1011110	5E
48	95	1011111	5F
49	90	1011010	5A
50	74	1001010	4A
51	48	110000	30
52	41	101001	29
53	85	1010101	55
54	35	100011	23
55	1	1	1
56	13	1101	D
57	40	101000	28
58	52	110100	34
59	95	1011111	5F
60	25	11001	19
61	54	110110	36
62	55	110111	37
63	54	110110	36
64	70	1000110	46
65	61	111101	3D
66	22	10110	16
67	76	1001100	4C
68	85	1010101	55
69	52	110100	34
70	87	1010111	57
71	54	110110	36
72	78	1001110	4E
73	45	101101	2D
74	62	111110	3E
75	57	111001	39
76	85	1010101	55
77	17	10001	11
78	52	110100	34
79	33	100001	21
80	57	111001	39
81	23	10111	17
82	80	1010000	50
83	70	1000110	46
84	58	111010	3A
85	75	1001011	4B
86	24	11000	18
87	23	10111	17
88	32	100000	20
89	95	1011111	5F
90	75	1001011	4B
91	86	1010110	56
92	47	101111	2F
93	48	110000	30
94	88	1011000	58
95	78	1001110	4E
96	74	1001010	4A
97	51	110011	33
98	71	1000111	47
99	48	110000	30
100	75	1001011	4B
101	2	10	2
102	27	11011	1B
103	81	1010001	51
