Row Labels	Count of TC1
conservative	2
oakland	1
mon	1
achievement	1
adequate	1
meals	1
adventures	1
photography	1
anal	1
teaches	1
andrews	1
manufacturer	1
assessed	1
nba	1
bedding	1
pens	1
blues	1
recorded	1
buying	1
sure	1
cartridge	1
vagina	1
cgi	1
louis	1
championship	1
math	1
clear	1
mortality	1
club	1
nightmare	1
coastal	1
password	1
collect	1
permissions	1
comm	1
potentially	1
confirm	1
rl	1
seats	1
shadow	1
significance	1
consistent	1
taxes	1
contamination	1
trained	1
could	1
webcast	1
cove	1
locks	1
craps	1
malpractice	1
customized	1
marathon	1
danish	1
matters	1
dial	1
media	1
drum	1
mother	1
ebony	1
newer	1
enhanced	1
nor	1
exhaust	1
p	1
explorer	1
pct	1
father	1
permission	1
firms	1
peter	1
fonts	1
pin	1
glenn	1
pubmed	1
gothic	1
regulatory	1
guestbook	1
scoring	1
hiking	1
seed	1
hyundai	1
shower	1
influences	1
sparc	1
instrumentation	1
tab	1
introduces	1
tea	1
journey	1
tions	1
kinda	1
uni	1
kodak	1
wan	1
leisure	1
worse	1
liable	1
lies	1
(blank)	
Grand Total	100
